record_id,query_id,source,title,year,decision,stage,reason,persistent_link
P01,PUBMED_20260731,PubMed,"Factors associated with anemia in children under three years of age in Peru: analysis of ENDES, 2007-2013",2016,included,full_text,"National ENDES analysis directly focused on children aged 6-35 months and associated factors.",https://pubmed.ncbi.nlm.nih.gov/27622483/
P02,PUBMED_20260731,PubMed,"New World Health Organization guideline on anemia cut-off points: implications for children aged 6-35 months in Peru",2025,included,full_text,"Directly addresses the measurement-comparability issue for the target age group.",https://pubmed.ncbi.nlm.nih.gov/40900478/
P03,PUBMED_20260731,PubMed,"Dietary intake, intestinal infection, and safe drinking water among children with anemia in Peru",2021,included,full_text,"Adds environmental and implementation-relevant evidence for children aged 6-35 months.",https://pubmed.ncbi.nlm.nih.gov/34078476/
P04,PUBMED_20260731,PubMed,"Evaluation of the impact of multiple micronutrient powders on children anemia in three Andean regions in Peru",2013,included,full_text,"Provides programme-monitoring evidence in the target age group.",https://pubmed.ncbi.nlm.nih.gov/23949507/
P05,PUBMED_20260731,PubMed,"Consumption of Chispitas multimicronutrient supplements and anemia in 6-35-month-old children in Apurimac, Peru",2012,included,full_text,"Provides implementation and uptake evidence in the target age group.",https://pubmed.ncbi.nlm.nih.gov/23085791/
P06,PUBMED_20260731,PubMed,"Is the prevalence of anemia in children living at high altitudes real? An observational study in Peru",2020,included,full_text,"Clarifies altitude and measurement interpretation in Peru.",https://pubmed.ncbi.nlm.nih.gov/32374436/
P07,PUBMED_20260731,PubMed,"Promoting multi-micronutrient powders in Peru: acceptance by caregivers and role of health personnel",2016,included,full_text,"Adds qualitative implementation context to the quantitative study.",https://pubmed.ncbi.nlm.nih.gov/26522502/
P08,PUBMED_20260731,PubMed,"Child malnutrition in children under 5 years of age in Peru: trends and determinants",2014,included,full_text,"Provides a national historical anchor and discusses anemia determinants.",https://pubmed.ncbi.nlm.nih.gov/24781091/
P09,PUBMED_20260731,PubMed,"Facilitators and barriers to anemia prevention in the urban government childcare program for infants and young children in Peru",2025,included,full_text,"Contributes recent service-delivery evidence for infants and young children.",https://pubmed.ncbi.nlm.nih.gov/40237309/
P10,PUBMED_20260731,PubMed,"Anemia and nutritional status of infants from two to five months of age treated in facilities of the Ministry of Health of Peru",2014,excluded,full_text,"Age range does not match the target population and has no separable 6-35-month result.",https://pubmed.ncbi.nlm.nih.gov/25418647/
S01,SCIELO_20260731,SciELO,"The control of growth and development in the reduction of anemia in Peru",2023,included,full_text,"Peru-specific secondary ENDES analysis that informs interpretation of service indicators.",https://www.scielo.org.pe/scielo.php?pid=S2308-05312023000400041&script=sci_arttext
S02,SCIELO_20260731,SciELO,"Prevalence of vitamin A deficiency and anemia in children under five years of Peru",2015,excluded,full_text,"Pooled under-five study without a directly usable analysis for the target 6-35-month population.",https://www.scielo.org.pe/scielo.php?pid=S1726-46342015000200005&script=sci_arttext
