survey_year,residence_code,sample_size,weighted_population,weighted_anemia_prevalence
2019,1,7349,3466.9555440000004,0.365632937288105
2019,2,2971,1222.648401,0.49102396691393546
2020,1,4222,2541.496008,0.35221176904559587
2020,2,1829,784.346274,0.48070825411991436
2021,1,7486,3448.969256,0.3499119517811092
2021,2,3416,1148.842973,0.4879528831831049
2022,1,7125,3316.126545,0.3864914235352258
2022,2,3432,1159.3359110000001,0.5156119795205757
2023,1,6891,2977.711558,0.4004849992257041
2023,2,3060,1079.291261,0.5032614907830705
2024,1,6714,2690.2196050000002,0.399919051961559
2024,2,3044,1067.2822139999998,0.5236782396150753
