seed,model,sample_size,test_size,auc_roc,pr_auc,accuracy,f1,recall
13,logistic_regression,57539,11508,0.711708274986443,0.6377791383185292,0.6613660062565172,0.6300199373397892,0.6552132701421801
13,random_forest,57539,11508,0.7084724741189864,0.6406471933479967,0.6559784497740702,0.6204582494487585,0.6390205371248026
13,extra_trees,57539,11508,0.7078121797662791,0.6395809892691314,0.6557177615571776,0.6228821625737674,0.6461295418641391
21,logistic_regression,57539,11508,0.7078720129088818,0.6408254103498621,0.6540667361835245,0.6210376011423132,0.6441548183254344
21,random_forest,57539,11508,0.7077189748990695,0.6452367079773015,0.6550225929787974,0.6195860482943657,0.6384281200631912
21,extra_trees,57539,11508,0.7047809147811795,0.6420947926140269,0.6525026068821689,0.6192516423878892,0.6421800947867299
42,logistic_regression,57539,11508,0.7063046910164421,0.6374520462929578,0.6562391379909628,0.6243828332700342,0.6492890995260664
42,random_forest,57539,11508,0.7028532763249893,0.6381177557116748,0.6546750086896073,0.6190567484662577,0.6376382306477093
42,extra_trees,57539,11508,0.7046069619852848,0.6405191485073315,0.6538929440389294,0.6212798326518969,0.6451421800947867
87,logistic_regression,57539,11508,0.7020815743461961,0.6349237185238119,0.6508515815085159,0.6205137891953154,0.648696682464455
87,random_forest,57539,11508,0.7000829481948256,0.6363740512964272,0.6506777893639207,0.6188128200265504,0.6443522906793049
87,extra_trees,57539,11508,0.7007531406807268,0.6366426258566505,0.651372957942301,0.6225776105362183,0.6534360189573459
100,logistic_regression,57539,11508,0.7103307183875077,0.6376899751186165,0.6587591240875912,0.6283713447525314,0.655608214849921
100,random_forest,57539,11508,0.7063372966316683,0.640349145729108,0.6535453597497393,0.6186513629842181,0.6386255924170616
100,extra_trees,57539,11508,0.7068076877911829,0.6420753343532193,0.6555439694125825,0.6252599735299679,0.653041074249605
