seed,approach,sex,selection_rate,true_positive_rate,false_positive_rate,accuracy
13,baseline,Female,0.15263417035942886,0.7807606263982103,0.07496542185338866,0.9091580502215657
13,baseline,Male,0.45735673088722545,0.8650505050505051,0.2795206203736341,0.7643882684992024
13,equalized_odds_threshold,Female,0.1068439192516002,0.4899328859060403,0.059474412171507604,0.8909404234367306
13,equalized_odds_threshold,Male,0.1899619585225181,0.4921212121212121,0.058160028198801554,0.805252178181372
21,baseline,Female,0.15388314498677566,0.7352297592997812,0.08211777417612101,0.8978119740322192
21,baseline,Male,0.45417287630402386,0.8503042596348884,0.2793986039019152,0.760307998012916
21,equalized_odds_threshold,Female,0.12647270978600625,0.5382932166301969,0.075634792004322,0.881942774705458
21,equalized_odds_threshold,Male,0.21572280178837555,0.5330628803245436,0.07571147306246644,0.8045206159960259
42,baseline,Female,0.1558151093439364,0.7196467991169978,0.08429011481377766,0.8936381709741551
42,baseline,Male,0.4554781971418102,0.8639125151883353,0.27911857292759706,0.7640161231220227
42,equalized_odds_threshold,Female,0.10934393638170974,0.4988962472406181,0.059927191262951554,0.8904075546719682
42,equalized_odds_threshold,Male,0.18908024917552216,0.4912920210611584,0.05858691850297307,0.8056675216807133
87,baseline,Female,0.15517241379310345,0.7986111111111112,0.0773109243697479,0.9092953523238381
87,baseline,Male,0.4560847849920819,0.8534136546184738,0.28309144955411786,0.7583140455597515
87,equalized_odds_threshold,Female,0.12168915542228885,0.5694444444444444,0.06750700280112044,0.8933033483258371
87,equalized_odds_threshold,Male,0.193568035083445,0.4955823293172691,0.062073789123972725,0.803751979534657
100,baseline,Female,0.15442092154420922,0.7605633802816901,0.08247422680412371,0.9008717310087173
100,baseline,Male,0.4548560273304051,0.8541666666666666,0.28,0.7608589555880918
100,equalized_odds_threshold,Female,0.1133250311332503,0.5422535211267606,0.06241292839230984,0.8956413449564135
100,equalized_odds_threshold,Male,0.19960956564177648,0.5024038461538461,0.06701754385964913,0.8018545632015618
