seed,approach,accuracy,demographic_parity_difference,equalized_odds_difference,selection_rate_difference,true_positive_rate_difference,false_positive_rate_difference
13,baseline,0.8125460650233396,0.30472256052779656,0.20455519852024545,0.30472256052779656,0.08428987865229476,0.20455519852024545
13,equalized_odds_threshold,0.8337564491032675,0.0831180392709179,0.002188326215171843,0.0831180392709179,0.002188326215171843,0.00131438397270605
21,baseline,0.8071411022848252,0.30028973131724823,0.19728082972579417,0.30028973131724823,0.11507450033510724,0.19728082972579417
21,equalized_odds_threshold,0.8308901809843584,0.0892500920023693,0.0052303363056532826,0.0892500920023693,0.0052303363056532826,7.66810581444427e-05
42,baseline,0.8067316354106953,0.2996630877978738,0.1948284581138194,0.2996630877978738,0.14426571607133754,0.1948284581138194
42,equalized_odds_threshold,0.8335926623536156,0.07973631279381242,0.007604226179459717,0.07973631279381242,0.007604226179459717,0.0013402727599784864
87,baseline,0.807796249283433,0.3009123711989784,0.20578052518436996,0.3009123711989784,0.05480254350736269,0.20578052518436996
87,equalized_odds_threshold,0.8331013021046597,0.07187887966115615,0.07386211512717533,0.07187887966115615,0.07386211512717533,0.005433213677147719
100,baseline,0.8068954221603473,0.30043510578619587,0.19752577319587633,0.30043510578619587,0.0936032863849765,0.19752577319587633
100,equalized_odds_threshold,0.8326918352305298,0.08628453450852618,0.03984967497291447,0.08628453450852618,0.03984967497291447,0.004604615467339292
