survey_year,role,module,source_url,retrieval_date,downloaded_file,sha256,transformation
2019,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/691-Modulo66.zip,2026-07-31,ENDES_2019_module66.zip,957b9c8ea0b6976d1cdc708901933a1c712da7caba7d7a299716caa42e03c2aa,Read original archive without modification; joined to the analytic child record by ENDES keys.
2019,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/691-Modulo67.zip,2026-07-31,ENDES_2019_module67.zip,759ed453c244f0dd1e06395124e7812c86cebfdb937d7ef1146cb3a9a9a58747,Read original archive without modification; joined to the analytic child record by ENDES keys.
2019,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/691-Modulo74.zip,2026-07-31,ENDES_2019_module74.zip,3b18dc01ceb539e45d73c29c410a5e3ea66837709ab66d7872481b60ec779a34,Read original archive without modification; joined to the analytic child record by ENDES keys.
2020,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/739-Modulo1631.zip,2026-07-31,ENDES_2020_module1631.zip,bd220f0b4fb91d2bf38067cc4dfa78c05e43afbe0b25765f378140f0b439484d,Read original archive without modification; joined to the analytic child record by ENDES keys.
2020,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/739-Modulo1632.zip,2026-07-31,ENDES_2020_module1632.zip,a9720477ce3739a5d3fd787e1cd29990889f897d0fdcffc814c47ca5707a1cfa,Read original archive without modification; joined to the analytic child record by ENDES keys.
2020,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/739-Modulo1638.zip,2026-07-31,ENDES_2020_module1638.zip,e9bbf646dde6d37ccca5a178a597141416c1cbb5dafb05a9a7d4d2e5e8c78f55,Read original archive without modification; joined to the analytic child record by ENDES keys.
2021,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/760-Modulo1631.zip,2026-07-31,ENDES_2021_module1631.zip,3530329539a5bb5766a695384a15678cfce3a90144d9fddfaaa8bd9a50ab2322,Read original archive without modification; joined to the analytic child record by ENDES keys.
2021,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/760-Modulo1632.zip,2026-07-31,ENDES_2021_module1632.zip,4f3f02091b0663e43ddbb804c50907b66b51f59bb0f9acdbafb7bf1c0bb74b1e,Read original archive without modification; joined to the analytic child record by ENDES keys.
2021,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/760-Modulo1638.zip,2026-07-31,ENDES_2021_module1638.zip,fd9fea9eff3d880673955a294d1dfabb643d4385adaf6af84218eae57dfe08ff,Read original archive without modification; joined to the analytic child record by ENDES keys.
2022,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/786-Modulo1631.zip,2026-07-31,ENDES_2022_module1631.zip,7d61f57bddd6488c4cf768adbceb3c163c00a95644583c91a6327cfc498778f7,Read original archive without modification; joined to the analytic child record by ENDES keys.
2022,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/786-Modulo1632.zip,2026-07-31,ENDES_2022_module1632.zip,e2402f6adc42e9492a9504f69996d0cd7d9aa55cb587ff7f9fe3dfdcb56bff81,Read original archive without modification; joined to the analytic child record by ENDES keys.
2022,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/786-Modulo1638.zip,2026-07-31,ENDES_2022_module1638.zip,6a55516437869f8263238b9b9fc498c047e12f6dc7e56fb581b522cb3e996b6c,Read original archive without modification; joined to the analytic child record by ENDES keys.
2023,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1631.zip,2026-07-31,ENDES_2023_module1631.zip,e70571867697224ef1d0dc40982155b37fd50942357c834259533dc1708f43d7,Read original archive without modification; joined to the analytic child record by ENDES keys.
2023,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1632.zip,2026-07-31,ENDES_2023_module1632.zip,c36eb8b512c89532494b059016fb4131e2109c63ecd90effd5b51bdd14fbeb3f,Read original archive without modification; joined to the analytic child record by ENDES keys.
2023,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1638.zip,2026-07-31,ENDES_2023_module1638.zip,67b9061450891a5407101f0598a62ec837ff2e948eb55f1d6ac3e7eb48e8b5ca,Read original archive without modification; joined to the analytic child record by ENDES keys.
2024,mother,REC0111,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/968-Modulo1631.zip,2026-07-31,ENDES_2024_module1631.zip,b0fcd33614fc3932992a5752e6910d05c809d95baebd06630ce2faf4866cd0a0,Read original archive without modification; joined to the analytic child record by ENDES keys.
2024,birth,REC21,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/968-Modulo1632.zip,2026-07-31,ENDES_2024_module1632.zip,3a782b74854a480f8c06919d97448086172f199c588f18a41995f51750698d22,Read original archive without modification; joined to the analytic child record by ENDES keys.
2024,child,REC44,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/968-Modulo1638.zip,2026-07-31,ENDES_2024_module1638.zip,03e7abad8c233615ec03a2f0b1720132ba4728132e795700a9b58271bc238302,Read original archive without modification; joined to the analytic child record by ENDES keys.
